paper_id	affiliations
yue18_interspeech	['department of linguistics, graduate school, chinese academy of social sciences', 'institute of linguistics, chinese academy of social sciences']
liu18b_interspeech	['tsinghua national laboratory for information science and technology,', 'department of electronic engineering, tsinghua university, beijing 100084, china', 'department of electrical and computer engineering, university of kentucky', 'f paul anderson tower, lexington, ky 40506-0046, usa']
luong18_interspeech	['national institute of informatics, tokyo, japan 2kddi research inc., saitama, japan']
airaksinen18_interspeech	['aalto university, finland']
broux18_interspeech	['french national audiovisual institute (ina), paris, france', 'computer science laboratory of le mans university (lium - ea 4023), le mans, france']
hermes18b_interspeech	['ifl – phonetics, university of cologne, germany']
li18b_interspeech	['institute of automation, chinese academy of sciences, beijing, p.r.china', 'university of chinese academy of sciences, beijing, p.r.china']
baby18_interspeech	['dept. of information technology, ghent university, belgium']
wagner18_interspeech	['human-centered multimedia, augsburg university, germany']
murakami18_interspeech	['graduate school of natural science and technology, okayama university, japan', 'graduate school of medicine dentistry and pharmaceutical sciences, okayama university, japan']
kabil18_interspeech	['idiap research institute, martigny, ch', 'ecole polytechnique federale de lausanne, ch']
muller18_interspeech	['karlsruhe institute of technology, karlsruhe, germany', 'carnegie mellon university, pittsburgh pa, usa']
li18c_interspeech	['national engineering laboratory of speech and language information processing', 'university of science and technology of china, hefei, china', 'school of computing, university of kent, medway, uk']
zhang18f_interspeech	['harbin institute of technology, china', 'harbin normal university, china']
klejch18_interspeech	['centre for speech technology research, university of edinburgh, edinburgh eh8 9ab, uk']
meng18_interspeech	['acoustics lab, school of physics and optoelectronics, south china university of technology,', 'china', 'hearing research group, biomedical science department, city university of hong kong, hong', 'kong sar of china', 'college of information engineering, shenzhen university, china']
xu18b_interspeech	['department of electrical and computer engineering, national university of singapore', 'data science research laboratories, nec corporation, japan', 'broadband wireless communication and sensor network technology key lab.', 'nanjing university of posts and telecommunications, china']
sun18_interspeech	"[""school of computer science, northwestern polytechnical university, xi'an, china"", 'mobvoi ai lab, seattle, usa', 'department of electrical engineering, university of washington, seattle , usa']"
liu18c_interspeech	['key laboratory of machine perception, peking university, shenzhen graduate school.']
teng18_interspeech	['multimedia signal and intelligent information processing lab', 'department of electronic engineering, tsinghua university, beijing, p.r.china']
dubey18b_interspeech	['department of electronics and electrical engineering', 'indian institute of technology guwahati, guwahati, india', 'department of electrical engineering', 'indian institute of technology dharwad, dharwad, india']
zajic18_interspeech	['university of west bohemia', 'faculty of applied sciences', 'ntis - new technologies for the information society and 2dept. of cybernetics,', 'univerzitni 8', ' 14 plzeˇn, czech republic']
buanzur18_interspeech	['institut fur skandinavistik, frisistik, und allgemeine sprachwissenschaft,', 'university of kiel, germany', 'department of african languages, makerere university, kampala, uganda']
vasilescu18_interspeech	['limsi cnrs, paris-saclay university 2vocapia research']
hua18_interspeech	['university of illinois, u.s.a.']
ganji18_interspeech	['department of electronics and electrical engineering', 'indian institute of technology guwahati, guwahati - 781039, india']
chen18d_interspeech	['center for language and speech processing, johns hopkins university, baltimore, md 21218, usa']
laaridh18_interspeech	['irit, universite de toulouse, cnrs, toulouse, france', 'mshs-t (usr 3414), universite de toulouse, cnrs, france', 'clle (umr 5263) universite de toulouse, cnrs, france']
fu18_interspeech	['national laboratory of pattern recognition, institute of automation, chinese academy of sciences, beijing, china', 'school of artificial intelligence, university of chinese academy of sciences, beijing, china', 'cas center for excellence in brain science and intelligence technology, beijing, china']
laaridh18b_interspeech	['university of avignon, lia, france', 'aix-marseille univ, cnrs, lpl umr 7309, aix-en-provence, france', 'service orl, chu larrey, uri octogone-lordat, toulouse, france']
gupta18_interspeech	['school of computing, and nus graduate school for integrated science and engineering', 'department of electrical and computer engineering', 'national university of singapore']
he18b_interspeech	['idiap research institute, switzerland', 'ecole polytechnique federale de lausanne (epfl), switzerland']
xiao18b_interspeech	['south china university of technology, guangzhou, china', 'microsoft research asia, beijing, china']
docarmoblanco18_interspeech	"[""universite côte d'azur, cnrs, bcl, france"", 'universite grenoble alpes, cnrs, gipsa-lab, grenoble, france', 'oticon medical, vallauris, france']"
ding18b_interspeech	['department of computer science and engineering, texas a&m university, usa']
ferrer18_interspeech	['instituto de investigacion en ciencias de la computacion, conicet-universidad de buenos aires,', 'buenos aires, argentina', 'speech technology and research lab, sri international, menlo park, usa']
yang18_interspeech	['tsinghua-cuhk joint research center for media sciences, technologies and systems,', 'graduate school at shenzhen, tsinghua university', 'pachira information technology (beijing) co., ltd.', 'department of systems engineering and engineering management,', 'the chinese university of hong kong']
