paper_id	affiliations
kim19_interspeech	['samsung research, seoul, south korea']
zhu19_interspeech	['key laboratory of speech acoustics and content understanding, institute of acoustics, china', 'university of chinese academy of sciences, china', 'xinjiang laboratory of minority speech and language information processing, xinjiang technical', 'institute of physics and chemistry, chinese academy of sciences, china']
guo19_interspeech	"['shaanxi provincial key laboratory of speech and image information processing,', ""school of computer science, northwestern polytechnical university, xi'an, china""]"
kitza19_interspeech	['human language technology and pattern recognition, computer science department,', 'rwth aachen university', ' aachen, germany', 'apptek gmbh', ' aachen, germany']
xie19b_interspeech	['chinese university of hong kong, hong kong, china', 'shenzhen institutes of advanced technology, chinese academy of sciences, shenzhen, china']
tsunoo19_interspeech	['sony corporation, japan']
sar19_interspeech	['department of electrical and computer engineering, university of illinois at urbana-champaign', 'ibm research ai']
sim19_interspeech	['google, usa']
jain19_interspeech	['samsung r&d institute, india - bangalore']
shor19_interspeech	['google, united states', 'als therapy development institute, united states']
peskov19_interspeech	['university of maryland department of computer science and umiacs', 'carnegie mellon university language technology institute', 'university of maryland department of computer science, ischool, umiacs, and lsc']
gupta19_interspeech	['amazon.com, cambridge, ma-usa']
marzinotto19_interspeech	['orange labs/ lannion france', 'aix marseille universite, univ. toulon, cnrs, lis, marseille, france']
parcollet19_interspeech	['avignon universite, lia, france', 'orkis, aix-en-provence, france']
georges19_interspeech	
lugosch19_interspeech	
shivakumar19_interspeech	['signal processing for communication understanding and behavior analysis laboratory', 'university of southern california, los angeles, usa']
tomashenko19_interspeech	['lia, university of avignon, france', 'lium, university of le mans, france']
song19_interspeech	['department of computer science and engineering,', 'the hong kong university of science and technology, hong kong', 'ai group, webank co., ltd, shenzhen, china']
masumura19_interspeech	['ntt media intelligence laboratories, ntt corporation, japan']
chien19_interspeech	['department of electrical and computer engineering, national chiao tung university, taiwan']
williams19_interspeech	['microsoft', 'one microsoft way, redmond, washington']
korpusik19_interspeech	['loyola marymount university, los angeles, ca 90045, usa', 'mit computer science and artificial intelligence laboratory, cambridge, ma 02139, usa']
kobayashi19_interspeech	['corporate research & development center, toshiba corporation, japan']
seneviratne19_interspeech	['university of maryland college park', 'pindrop']
dash19_interspeech	"['department of bioengineering, university of texas at dallas, usa', 'department of psychology, university of texas at austin, usa', ""meg lab, dell children's medical center, austin, tx, usa"", 'callier center for communication disorders, university of texas at dallas, usa']"
sheth19_interspeech	['dept. of physics and astronomy, university of california, los angeles, usa', 'dept. of neurology and neurosurgery, tel aviv university, tel aviv, isr', 'dept. of neurosurgery, university of california, los angeles, usa', 'dept. of linguistics, university of california, los angeles, usa', 'dept. of radiological sciences, university of california, los angeles, usa']
silva19_interspeech	
douros19_interspeech	['universite de lorraine, cnrs, inria, loria, f-54000 nancy, france,', 'universite de lorraine, inserm u1254, iadi, f-54000 nancy, france']
rasskazova19_interspeech	['humboldt-universitat zu berlin, germany', 'leibniz-centre general linguistics, germany']
gubian19b_interspeech	['institute of phonetics and speech processing, lmu munich, germany']
csapo19_interspeech	['department of telecommunications and media informatics,', 'budapest university of technology and economics, budapest, hungary', 'mta-elte lendulet lingual articulation research group, budapest, hungary', 'mta-szte research group on artificial intelligence, szeged, hungary', 'institute of informatics, university of szeged, hungary', 'department of phonetics, e¨otv¨os lorand university, budapest, hungary']
klein19_interspeech	['humboldt-universitat zu berlin, germany', 'ludwig-maximilians-universitat munchen, germany']
takemoto19_interspeech	['chiba institute of technology, japan', 'konan university, japan', 'national institute for japanese language and linguistics, japan']
leeuwen19_interspeech	['department of head and neck oncology and surgery, netherlands cancer institute, amsterdam', 'department of radiology, netherlands cancer institute, amsterdam', 'techmed center, university of twente, enschede', 'amsterdam center for language and communication, university of amsterdam, amsterdam', 'the netherlands']
